N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
24;Online kurz Android I. Začiatočník;84;110,5;Programovacie Jazyky;Online kurz Programovanie pre Android I. Začiatočník je určený pre teba, ak si začiatočník a chceš sa naučiť programovať pre Android. Naučíme ťa pracovať so systémom Android a emulátormi. Zvládneš využívať rôzne ovládacie prvky ako tlačidlá, zaškrtávacie a prepínacie políčka či widgety. Vytvárať vlastné menu a návrhy založené na XML bude pre teba hračkou.
25;Online kurz Android II. Mierne Pokročilý;92;120,9;Programovacie Jazyky;Online kurz Programovanie pre Android II. Mierne Pokročilý je pre teba vhodný, ak máš skúsenosti s programovaním na platforme Android. Alebo si absolvoval online kurz Programovanie pre Android I. Začiatočník. Oboznámime ťa s vláknami, pop-up správami či filtrami zámerov. Zvládneš pracovať s prostriedkami a preferenciami. Naučíme ťa ošetrovať udalosti a zabudovať prehliadač do aplikácie.
26;Online kurz Android III. Pokročilý;109;145,6;Programovacie Jazyky;Online kurz Android III. Pokročilý je pre teba ideálny, ak máš skúsenosti s programovaním na platforme Android. Alebo si absolvoval kurz Programovanie pre Android II. Mierne Pokročilý. Naučíme ťa využívať Java knižnice a komunikovať prostredníctvom internetu. Pracovať s varovaniami prostredníctvom upozornení bude pre teba samozrejmosťou. Budeš vedieť obsluhovať rôzne typy zariadení s rôznymi obrazovkami.
27;Online kurz Angular I. Začiatočník;299;390;Tvorba Web Stránok;Online kurz Angular je vhodný, ak sa chceš naučiť niečo o Angular frameworku od Googlu. Dozvieš sa, čo je to MVC a DI, aké sú výhody tohto frameworku a aká je jeho filozofia. Naučíš sa základné direktívy, kontrolery i moduly. Povieme ti, čo máš testovať a prečo je to potrebné.
28;Online kurz Apache Tomcat I. Začiatočník;195;264;Administrácia IT;Online kurz Apache Tomcat I. Začiatočník je pre teba vhodnou voľbou, ak sa chceš perfektne vyznať v spravovaní serverov. Ukážeme ti, ako správne vykonať inštaláciu Tomcat a ako pracovať s triedami a bežnými adresármi. Zistíš, ako spravovať webové aplikácie a tiež, ako využívať pokročilé funkcie Tomcat. V rámci nich si osvojíš implementáciu prístupových protokolov, obmedzovanie prístupov a konfigurácie zdrojov.
29;Online kurz ArchiMate Foundation;506;659,1;Programovacie Jazyky;Online kurz ArchiMate Foundation je pre teba ideálny ak sa chceš naučiť modelovať Enterprise Architektúru a súčasne pripraviť na certifikačnú skúšku. Oboznámime ťa so základnými konceptami, vrstvami a metamodelom ArchiMate a Enterprise architektúrou. Zistíš, prečo je potrebná vizualizácia ArchiMate a aké sú jej rôzne možnosti využitia. Naučíme ťa porozumieť všetkým väzbám tohto jazyka. Ako absolvent online kurzu ArchiMate Foundation zvládneš využívať modelovacie nástroje a osvojíš si viaceré odporúčané modelovacie techniky.
30;Online kurz ArchiMate I. Začiatočník;506;659,1;Programovacie Jazyky;Online kurz ArchiMate I. Začiatočník je pre teba ideálny ak ešte nemáš skúsenosti s modelovacím jazykom ArchiMate. Oboznámime ťa so základnými princípmi ArchiMate a Enterprise architektúrou. Zistíš, prečo je potrebná vizualizácia a aké sú jej rôzne možnosti využitia. Naučíme ťa porozumieť základným stavebným kameňom a konceptom tohto jazyka. Ukážeme ti široké možnosti prispôsobenia a väzby na ďalšie modelovacie jazyky. Ako absolvent online kurzu ArchiMate zvládneš využívať modelovacie nástroje a osvojíš si viaceré odporúčané techniky.
31;Online kurz Assembler I. Začiatočník;89;122,1;Programovacie Jazyky;Online kurz Assembler I. Začiatočník je pre teba vhodný, ak sa chceš naučiť vytvárať aplikácie v programe Assembler. Naučíme ťa pracovať so základnými číselnými sústavami a inštrukciami. Znalosť iných programovacích jazykov je výhodou. Mikroprocesory rady x86 a anatómia inštrukcií budú pre teba maličkosťou. Ako absolvent online kurzu Assembler zvládneš základné programové konštrukcie.
32;Online kurz AutoCAD I. Začiatočník;73;96,2;Grafika a Dizajn;Online kurz AutoCAD I. Začiatočník je pre teba vhodný, ak si začiatočník a chceš svoje nápady vykresľovať priamo do počítača. Zoznámime ťa so základnými princípmi fungovania programu. Pracovným prostredím AutoCADu ti nahradíme rysovaciu dosku. Naučíme ťa pracovať so základnými nástrojmi a vykresliť akýkoľvek detail. Ako absolvent online kurzu AutoCAD zvládneš narysovať akýkoľvek technický plán samostatne.
33;Online kurz Automatizované Testovanie I. Začiatočník;173;224;Programovacie Jazyky;Online kurz Automatizované Testovanie I. Začiatočník je pre teba ideálny, ak chceš naučiť automatizovane testovať softvér. Oboznámime ťa sa rôznymi úrovňami automatizovaného testovania. Ukážeme ti najčastejšie chyby pri automatizácii. Zvládneš nasadiť automatizované testy a hľadať chyby v softvéri. Automatizovať testovacie procesy a prípady bude pre teba denný chlebíček.
