N;Názov Online Kurzu;"Cena Po Zľave";"Normálna Cena";Kategória;Popis
186;Online kurz Microsoft SQL Server V. Ladenie a Optimalizácia Dopytov;117;153,4;Databázy a Analytika;Online kurz Microsoft SQL Server V. Ladenie a Optimalizácia Dopytov určený pre tých, ktorí sa chcú naučiť merať výkon databázy, zisťovať a aké sú odporúčania pre identifikáciu zamykanie a blokovanie. Okrem toho budú vedieť vládať spracovanie kurzorov v dotaze i správu konkurenčných operácií či optimalizáciu fyzických návrhov databázy.
187;Online kurz Microsoft Teams;64;97,9;Kancelárske Balíky;Online kurz Microsoft Teams je pre teba vhodný, ak sa chceš naučiť zvládať tímovú spoluprácu. Vďaka tomu, že je Teams súčasťou balíka Office 365, dozvieš sa ako ho nasadiť do menších tímov, ale aj do veľkých korporácií. Microsoft Teams združuje mnoho služieb od Microsoftu do jedinej aplikácie a rozhrania. Vďaka Microsoft Teams nájdete všetky a mnohé ďalšie služby v tejto jednej aplikácii.
188;Online kurz Microsoft Visio I. Začiatočník;61;80,6;Kancelárske Balíky;Online kurz Microsoft Visio I. Začiatočník je pre teba ideálny, ak sa chceš naučiť pracovať s aplikáciou Visio. Osvojíš si základy tvorby rôznych druhov diagramov, vývojových grafov či sekvencií. Naučíme ťa vytvárať vrstvy, motívy, objekty a používať dátové riešenia ako kontingenčný, organizačný alebo Ganttov diagram. Uloženie a tlač výkresov bude pre teba samozrejmosťou. Ako absolvent online kurzu Microsoft Visio zvládneš prepojiť výkres s externými dátami.
189;Online kurz Microsoft Visio II. Mierne Pokročilý;84;110,5;Kancelárske Balíky;Online kurz Microsoft Visio II. Mierne Pokročilý je určený pre teba, ak máš skúsenosti s Visio alebo si absolvoval kurz Microsoft Visio I. Začiatočník. Naučíme ťa pokročilé možnosti práce s kartou Vývojár a prepojenie výkresu s externými dátami. Osvojíš si priestorový plán či prispôsobenie Visia.
190;Online kurz Microsoft Windows 10 I. Začiatočník;56;74,1;Operačné Systémy;Online kurz Microsoft Windows 10 I. Začiatočník je pre teba skvelou voľbou, ak sa chceš perfektne orientovať v najpoužívanejšom operačnom systéme. Ukážeme ti, ako nastaviť panel úloh a ako sa orientovať v ponuke štart a v programoch. Naučíme ťa tiež rôzne spôsoby, akými je možné zrýchliť štart systému. Zvládneš si upravovať ikony programov a využívať „božský mód“. Dôkladne ťa oboznámime aj s oblasťou oznámení. Ako absolvent online kurzu Windows 10 budeš vyznať v notifikáciách, práci s ikonami a s panelom úloh.
191;Online kurz Microsoft Windows 10 II. Mierne Pokročilý;67;88,4;Operačné Systémy;Online kurz Microsoft Windows 10 II. Mierne Pokročilý ti odhalí, ako využiť pokročilejšie možnosti systému Windows 10. Naučíme ťa pracovať s aktívnymi dlaždicami a spravovať používateľské účty. Perfektne sa budeš vedieť orientovať vo Windows Store, OneDrive a zvládneš aj konfiguráciu sieťových pripojení. Oboznámime ťa s užitočnými návodmi, tipmi a trikmi, ktoré ti uľahčia používanie Windows 10. Budeš vedieť napríklad rozdeľovať disky, riešiť problémy s grafickou kartou a využívať pokročilé spôsoby vyhľadávania. Ako absolvent online kurzu Windows 10 získaš cenné znalosti dôležité pre správu počítača.
192;Online kurz Microsoft Windows 10 III. Pokročilý;73;95,8;Operačné Systémy;Online kurz Microsoft Windows 10 III. Pokročilý je pre teba vhodný, ak sa chceš naučiť korektne využívať aplikácie, ktoré Windows 10 ponúka a rozumieť riadeniu súborov. Ďalej získaš vedomosti a zručnosti týkajúce sa používania Microsoft Windows 10 a celého jeho prostredia vrátanie prečistenia celého systému.
193;Online kurz Microsoft Windows Server 2019;112;154,25;Administrácia IT;Online kurz Microsoft Windows Server 2019 je určený, ak sa rozhodol nasadiť Windowsovú distribúciu na svoj server. Získaš základy o správe Windows Server, inštalácii a konfigurácii. Na kurze Windows Server I. Začiatočník ti vysvetlíme plánovanie, spoločne sa pozrieme na analýzu existujúcej siete a definovanie cieľov a rozsahu. Oboznámime ťa s nástrojmi pre správu systému, ovládacími panelmi a konzolami pre správu. Absolvent online kurzu Windows Server budeš vedieť spravovať register, sledovať, ladiť a protokolovať výkon i riešiť hardvérové problémy.
194;Online kurz Microsoft Windows Server I. Začiatočník;112;154,25;Administrácia IT;Online kurz Windows Server I. Začiatočník je určený, ak sa rozhodol nasadiť Windowsovú distribúciu na svoj server. Získaš základy o správe Windows Server, inštalácii a konfigurácii. Na kurze Windows Server I. Začiatočník ti vysvetlíme plánovanie, spoločne sa pozrieme na analýzu existujúcej siete a definovanie cieľov a rozsahu. Oboznámime ťa s nástrojmi pre správu systému, ovládacími panelmi a konzolami pre správu. Absolvent kurzu Windows Server bude vedieť spravovať register, sledovať, ladiť a protokolovať výkon i riešiť hardvérové problémy.
195;Online kurz Microsoft Word - Tvorba Bakalárskych a Diplomových Prác;68;89;Kancelárske Balíky;Online Kurz Microsoft Word - Tvorba Bakalárskych a Diplomových Prác s veľkými dokumentami sa zameriava na nástroje programu Word, ktoré zefektívňujú tvorenie diplomovej, rigoróznej alebo semestrálnej práce alebo čokoľvek, čo môžeme nazvať rozsiahlym a veľkým dokumentom. Ukážeme si dôležité koncepty pri písaní veľkých dokumentov ako je správna tvorba štruktúry pomocou sekcií a štýlov, ale aj vysvetlenie dôležitých typografických nastavení a úpravy grafiky, ktoré sú dôležité aby písanie práce nebolo pracné a aby práca bola vyhovujúca nielen po stránke faktografickej ale aj vizuálnej.
196;Online kurz Microsoft Word I. Začiatočník;39;52,2;Kancelárske Balíky;Online kurz Microsoft Word I. Začiatočník je pre teba vhodný, ak sa chceš naučiť efektívne pracovať s textom vo Worde. Naučíme ťa vytvárať a spracovávať texty spolu s obrázkami. Osvojíš si prostredie Wordu, ukladanie súborov na USB kľúč a posielanie e-mailom.
197;Online kurz Microsoft Word II. Mierne Pokročilý;50;66,3;Kancelárske Balíky;Online kurz Microsoft Word II. Mierne pokročilý je pre teba ideálny, ak máš skúsenosti s Wordom alebo si absolvoval online kurz Word I. Začiatočník. Osvojíš si techniky pokročilého formátovania, tvorby motívov a štýlov. Naučíme ťa efektívne pracovať s dokumentom, kontrolovať pravopis a gramatiku a využívať automatické opravy. Vkladať rôzne typy objektov ako tabuľky, grafy či obrázky bude pre teba samozrejmosťou. Ako absolvent online kurzu Microsoft Word zvládneš zabezpečiť dôležité dokumenty heslom a nastaviť si oprávnenia.
198;Online kurz Microsoft Word III. Pokročilý;56;74,1;Kancelárske Balíky;Online kurz Microsoft Word III. Pokročilý je určený pre teba, ak máš skúsenosti s Wordom alebo si absolvoval online kurz Microsoft Word II. Mierne Pokročilý. Osvojíš si vytvorenie viacúrovňového zoznamu, tvorbu a používanie šablón. Naučíme ťa naplno využiť možnosti spracovania textu a obrázkov, porovnávať dva dokumenty a sledovať v nich zmeny. Pracovať s hromadnou korešpondenciou a vytvárať či tlačiť obálky a štítky bude pre teba hračkou. Ako absolvent online kurzu Microsoft Word Pokročilý zvládneš vytvoriť vlastné formuláre, pridať do dokumentov vodoznak, graf alebo snímok obrazovky.
199;Online kurz Microsoft Word MO-100 MOS;96;126,2;Kancelárske Balíky;Online kurz Skúška Microsoft Word MOS Associate meria spôsobilosť pri tvorbe a správe odborných dokumentov na rôzne špecializované účely a situácie. Skúška sa týka schopnosti prispôsobiť prostredia programu Word tak, aby vyhovovali potrebám projektu a zvyšovali produktivitu. Medzi príklady dokumentov na úrovni expertov patrí podnikateľský plán, výskumné štúdia, kniha, špecializovaná brožúra a hromadná korešpondencia.
200;Online kurz Mobilný Marketing;50;66,50;Marketing, Reklama a Právo;Na online kurze Mobilný Marketing si povieme čo je mobilný marketing. Do mobilného marketingu je možné zahrnúť aj samotnú výrobu webových stránok, ktoré sú špeciálne upravené na prezeranie z mobilného telefónu. Prehľad o metódach efektívneho nasadenia marketingovej stratégie zameranej na spotrebiteľov prostredníctvom ich inteligentných telefónov alebo tabletov. Na online školení si povieme o možnostiach, ktoré ponúkajú mobilné médiá, a naučte sa organizovať svoje mobilné marketingové akcie. Ukážeme si ako využiť možnosti mobilných zariadení na nasadenie vašich marketingových kampaní.
201;Online kurz Modelovanie Podnikových Procesov UML;274;360;Programovacie Jazyky;Online kurz Modelovanie Podnikových Procesov UML ťa naučíme modelovať podnikové procesy a aplikovať požiadavky klientov vo forme dokumentácie. Jazyk UML je modelovací jazyk vo veľkom využívaný v softvérovom inžinierstve. Ako absolvent online kurzu Modelovanie Podnikových Procesov UML zvládneš modelovanie business a IT procesov.
202;Online kurz MongoDB Administrácia;224;292,5;Databázy a Analytika;Online kurz MongoDB Administrácia Vás uvedie do sveta dokumentovo orientovaných databáz. Zoznámime Vás s touto modernou a najobľúbenejšou NoSQL databázou. Venovať sa budeme využívaniu základných funkcií. Oboznámime Vás s jednotlivými platformami a administráciou. Dokážete využívať škálovanie, ladiť výkon a opravovať chyby. Absolvovaním kurzov MongoDB sa budete dokonale orientovať v tomto databázovom systéme a zvládnete využívať všetky jeho pokročilé funkcie. Ukážeme si ako stavať samostatné uzly a používať replikáciu.
203;Online kurz MongoDB I. Začiatočník;224;292,5;Databázy a Analytika;Online kurz MongoDB I. Začiatočník je určený každému, kto sa chce oboznámiť s open source databázovým systémom MongoDB. Prevedieme ťa inštaláciou, predstavíme ti schémy dizajnu a ukážeme ti, ako pracovať s dátami. Nevynecháme ani viaceré prípadové štúdie a osvojíš si rôzne spôsoby vkladania dát.
204;Online kurz Moodle I. Začiatočník;101;132,6;Tvorba Web Stránok;Online kurz Moodle pre začiatočníkov je vhodný, ak rozmýšľaš o vytvorení vlastných e-learningových kurzov cez Moodle, alebo ich už spravuješ. Na kurze ťa prevedieme základnou štruktúrou a navigáciou v Moodle. Naučíš sa vytvárať nové e-learningové kurzy, následne ich budeš vedieť spravovať. Po absolvovaní kurzu hravo zvládneš tvorbu študijného obsahu. Po nasadení vlastných kurzov dokážeš pracovať s komunikačnými kanálmi, ako komentáre, ankety alebo chat.
205;Online kurz Moodle II. Mierne Pokročilý;112;146,9;Tvorba Web Stránok;Online kurz Moodle pre mierne pokročilých je vhodný, ak už máš skúsenosti s Moodle, alebo si už absolvoval kurz pre začiatočníkov. Na kurze sa naučíš vytvárať testové úlohy, exportovať a importovať alebo ich priamo upravovať. Po absolvovaní kurzu zvládneš sledovať svojich študentov, ich aktivitu a pokrok v štúdiu. Nebude ti robiť problém nainštalovať systém a udržiavať jeho bezproblémový chod. Naučíme ťa celý systém Moodle aktualizovať a zálohovať. Dozvieš sa všetko dôležité o používateľských rolách a naučíš sa ich manažovať.
206;Online kurz Moodle III. Pokročilý;198;260;Tvorba Web Stránok;Online kurz Moodle pre pokročilých, je vhodný, ak už máš skúsenosti s Moodle, alebo si už absolvoval kurz pre mierne pokročilých. Na kurze sa naučíš vytvárať testové úlohy, exportovať a importovať alebo ich upravovať. Po absolvovaní kurzu zvládneš sledovať svojich študentov, ich aktivitu a pokrok v štúdiu. Nebude ti robiť problém nainštalovať systém a udržiavať jeho bezproblémový chod. Naučíme ťa celý systém aktualizovať a zálohovať. Dozvieš sa všetko podstatné o používateľských rolách a naučíš sa ich riadiť.
207;Online kurz MySQL I. Inštalácia, Správa a Údržba;67;88,4;Databázy a Analytika;Online kurz MySQL I. Inštalácia, Správa a Údržba ťa oboznámi so základnými pojmami v rámci MySQL databáz. Na online kurze MySQL I. Inštalácia, Správa a Údržba si povieme, prečo väčšina webových aplikácii, ktoré obsahujú dynamické prvky ako mailing list či anketu musia využívať databázu. Naučíme ťa nainštalovať a nastaviť databázu na serveri. Predstavíme ti nástroje na správu a užívateľské rozhranie phpMyAdmin. Absolvent online kurzu MySQL Inštalácia, Správa a Údržba bude vedieť všetko potrebné o správe, migrácii a zálohovaní databáz.
208;Online kurz MySQL II. Programovanie v SQL a Návrh Databázy;89;117;Databázy a Analytika;Online kurz MySQL II. Programovanie v SQL a návrh Databázy je určený pre ľudí, ktorí už pričuchli k databázami a majú základné skúsenosti s MySQL. Na online kurze MySQL sa oboznámiš s náročnejšími dopytmi a budeš vedieť vytvárať vnorené dopyty.  Na príkladoch vyskúšaš tvorbu databázy pre skladový systéme alebo eshop. Porozumieš pojmom ako cudzí a primárny kľúč.
209;Online kurz MySQL III. Pokročilá práca s SQL;106;139,1;Databázy a Analytika;Online kurz MySQL III. Pokročilá práca s SQL je vhodný pre ľudí s pokročilými znalosťami MySQL. Na online kurze MySQL ťa naučíme používať nástroje pre správu databázy akými sú ODBC, Connector, StarOffice Base a iné. Spoločne si prejdeme všetky dôležité konfiguračné nástroje a utility ako je Mysqladmin, Mysqldump či Mysqlimport. Nezabudli sme ani na geografické funkcie využívané v IS. Ukážeme si ako indexovať geografické dáta a využívať geografické funkcie. Absolventom online kurzu MySQL Pokročilá práca s SQL už nebude robiť problém vytváranie a používanie uložených procedúr a triggerov.
210;Online kurz Myšlienkové Mapy I. Začiatočník;64;84;Manažérske Kurzy;Online kurz Myšlienkové Mapy I. Začiatočník je pre teba skvelou voľbou, ak sa chceš venovať tvorbe myšlienkových máp a využívať ich na zefektívnenie procesov. Podrobne sa budeme venovať tejto filozofii a princípom na akých pracuje náš mozog. Naučíme ťa, ako efektívne riešiť problémy pomocou myšlienkových máp a ako ich využívať v každodennom živote. Ako absolvent kurzu Myšlienkové Mapy I. Začiatočník zvládneš k procesom pristupovať kreatívne a znázorňovať ich pomocou cez myšlienkové mapy.
211;Online kurz Návrh Relačných Databáz I. Začiatočník;86;112,9;Databázy a Analytika;Online kurz Návrh Relačných Databáz I. Začiatočník je pre teba skvelou voľbou, ak sa chceš profesionálne venovať návrhu a tvorbe relačných databáz. Oboznámime ťa s nevyhnutnou teóriou o relačných databázach, ktorú si precvičíš na praktických príkladoch. Zvládneš celý proces návrhu štruktúry databázy a tiež návrh dizajnu.
212;Online kurz Nette I. Začiatočník;121,6;145,6;Tvorba Web Stránok;Online kurz Nette I. Začiatočník je pre teba výbornou voľbou, ak sa chceš naučiť pracovať s php frameworkom Nette. Oboznámime ťa s jeho prednosťami a architektúrou. Zvládneš využívať jeho komponenty a ukážeme ti, ako eliminovať a ladiť chyby. Osvojíš si spôsoby komunikácie Nette s ostatnými nástrojmi a tiež vývojové cykly. Absolvovaním kurzu Nette I. Začiatočník získaš cenné znalosti, ktoré využiješ na efektívnu tvorbu kódu.
213;Online kurz Node.JS;118;161,2;Tvorba Web Stránok;Online kurz Node.JS je vhodný, ak sa zaujímaš o platformu Node.JS postavenú na JavaScripte používanom v Google Chrome. Na kurze Node.JS sa dozvieš, ako ho správne inštalovať či vytvárať http server. Povieme ti, aké sú jeho výhody a v čom je odlišný od ostatných platforiem.
214;Online kurz Objektovo Orientovaná Analýza;118;154,7;Programovacie Jazyky;Online kurz Objektovo Orientovaná Analýza ťa naučí ako vytvárať konzistentné modely systému v jazyku UML. Zoznámime ťa s podstatou objektovo orientovaného prístupu a s jeho aplikáciou na analýzu informačného systému, vychádzajúceho z modelu podnikových procesov. Naučíme ťa tiež zostaviť model prípadov použitia, vytvoriť slovné scenáre, navrhnúť analytický model pomocou diagramu tried, ale aj vytvoriť realizáciu prípadov použitia pomocou diagramov interakcie.
215;Online kurz Optimalizácia Procesov;148;193,3;Databázy a Analytika;Online kurz Optimalizácia Procesov ti poskytne základné znalosti, zručnosti a metódy pre optimalizáciu podnikových a organizačných procesov. Ukážeme ti ako pracovné kroky robiť s maximálnou možnou efektivitou a neustále ďalej optimalizovať existujúce procesy u tvojich klientov.
216;Online kurz Optimalizácia Procesov I. Začiatočník;128;222,9;Grafika a Dizajn;Online kurz Optimalizácia Procesov I. Začiatočník ti poskytne základné znalosti, zručnosti a metódy pre optimalizáciu známych procesov. Ukážeme ti ako pracovné kroky robiť s maximálnou možnou efektivitou a neustále ďalej optimalizovať existujúce procesy u našich klientov.
217;Online kurz Optimalizácia SQL dopytov;154;201,5;Databázy a Analytika;Online kurz Optimalizácia a ladenie SQL dopytov ťa naučí zlepšovať rýchlosť tvojich dopytov. Naučíme ťa merať výkon databázy a zistíš aké sú odporúčania pre lepší výkon. Budeš ovládať vytvorenie a používanie indexov či optimalizáciu fyzických návrhov databázy.
218;Online kurz Optimalizácia SQL Dopytov pre SQLite, MySQL, PostgreSQL, Microsoft SQL Server;168;221,50;Databázy a Analytika;Na Online kurze sa naučíš niečo o architektúre SQL a princípe spracovania dopytov. Vykonávať rôzne operácie s dátami vrátane vyhľadávania, generovania zostáv a vytváranie analýz. Naučíš sa merať výkon databázy a zistíš aké sú odporúčania pre identifikáciu zamykania a blokovania. Ovládať spracovanie kurzorov v dotaze i správu konkurenčných operácií alebo optimalizáciu fyzických návrhov databázy.
219;Online kurz Oracle PL/SQL I. Začiatočník;85,9;149,9;Databázy a Analytika;Online kurz Oracle PL/SQL I. Začiatočník ťa prevedie od nulových schopností písania PL/SQL po schopnosť písať efektívne programy na spracovanie údajov. V tomto online kurze sa naučíš popísať vlastnosti a syntax PL/SQL. Vytvárať a ladiť uložené procedúry a funkcie. PL/SQL je rozšírenie procedurálneho jazyka SQL. Engine PL/SQL môže používať príkazy SQL aj procedurálne príkazy. V programe PL/SQL sa príkazy SQL používajú na prístup k súborom údajov uloženým v databáze, zatiaľ čo procedurálne príkazy sa používajú na spracovanie jednotlivých údajov a riadenie toku programu.
220;Online kurz Organizovanie Udalostí;56;77,81;Manažérske Kurzy;Online kurz Organizovanie Udalostí je vhodný práve pre teba, ak si manažér alebo máš záujem o lepšie organizovanie udalostí v osobnom i pracovnom živote. Naučíme ťa prečo organizovať Event, ako vybrať termín, názov, správne miesto a ako na zostavenie rozpočtu. Oboznámime ťa s tým, ako tvoriť program, zaistiť najdôležitejšie veci a kto by sa mal podieľať na priebehu akcie. Po absolvovaní online kurzu Organizovanie udalostí budeš vedieť ako zabezpečiť zachytenie udalosti a jej správne koncové vyhodnotenie.
221;Online kurz Palstat;148;203,39;Manažérske Kurzy;Online kurz Palstat je určený pre pracovníkom z oddelenia kvality a cieľom je zoznámenie sa s novinkami v informačnom systéme,  monitorovanie akosti a riadenie nezhôd. Palstat CAQ umožňuje vybudovať efektívne systémové riadenie kvality v spoločnostiach všetkých veľkostí a zameraním.
222;Online kurz Penetračné Testovanie I. Začiatočník;140;183,30;Programovacie Jazyky;Online kurz Penetračné Testovanie I. Začiatočník je pre teba vynikajúcou príležitosťou, ako sa stať expertom na testovanie softvéru. Oboznámime ťa so základnými metódami penetračného testovania, zistíš, čo je to metodika Black Box a White Box. Zvládneš testovanie rôznych okruhov bezpečnosti a naučíme ťa bezpečnejšie pracovať s operačnými systémami. Následne sa zameriame na konkrétne techniky penetračného testovania a rôzne typy analýz. Ako absolvent online kurzu Penetračné testovanie zvládneš vytvárať analýzy zabezpečenia softvéru a ohodnotenie zraniteľnosti.
223;Online kurz Perl I. Začiatočník;89;120;Programovacie Jazyky;Online kurz Perl I. Začiatočník je určený pre teba, ak sa chceš naučiť programovať v jazyku Perl. A to bez nutnosti ovládania iných programovacích jazykov. Naučíme ťa základné dátové typy a operátory. Oboznámime ťa s problematikou regulárnych výrazov a riadiacich štruktúr. Ako absolvent kurzu Perl zvládneš pracovať so súbormi Perlu i s podprogramami a balíkmi.
224;Online kurz Personalistika a Rozhodovanie;167;216,8;Manažérske Kurzy;Online kurz Personalistika a Rozhodovanie je vhodný práve pre teba, ak ťa zaujíma personalistika. Je to spojenie kurzu Personalistika a Rozhodovanie I. a II. Naučíme ťa správne pristupovať k strategickému riadeniu ľudských zdrojov. Oboznámime ťa s novinkami z oblasti personálnej politiky firiem. Naučíme základné poznatky o zamestnancoch ako je odmeňovanie, vzdelávanie a rozvoj. Utváranie firemnej kultúry a vytvorenie auditov bude pre teba jednoduchšie. Po absolvovaní kurzu Personalistika a Rozhodovanie budeš schopný skvalitniť zamestnaneckú štruktúru firmy a nadobudneš potrebné znalosti súvisiace so zvyšovaním úrovne zamestnancov.
225;Online kurz Personalistika a Rozhodovanie I. Začiatočník;56;77;Manažérske Kurzy;Online kurz Personalistika a Rozhodovanie I. Začiatočník je vhodný práve pre teba, ak máš len minimálne skúsenosti z tejto oblasti a zaujíma ťa personalistika. Naučíme ťa správne pristupovať k strategickému riadeniu ľudských zdrojov. Oboznámime ťa s novinkami z oblasti personálnej politiky firiem. Po absolvovaní online kurzu Personalistika a Rozhodovanie I. Začiatočník budeš schopný skvalitniť zamestnaneckú štruktúru firmy.
226;Online kurz PHP I. Začiatočník;56;74,1;Tvorba Web Stránok;Online kurz PHP pre začiatočníkov je určený presne pre teba, ak sa chceš naučiť základy jazyka PHP a rozbehnúť svoj prvý Apache Server. Naučíš sa používať premenné, polia či operátory. Absolvent online kurzu dokáže vytvárať a spracovávať dáta z vlastných formulárov. Budeš si vedieť vytvoriť vlastnú anketu alebo knihu návštev. Naučíš sa rovnako nahrávať a čítať súbory.
227;Online kurz PHP II. Pokročilý;73;96,2;Tvorba Web Stránok;Online kurz PHP II. Pokročilý je vhodný, ak sa chceš naučiť programovať dynamické webové stránky. Na kurze PHP pokročilý sa naučíš detailnú konfiguráciu Apache servera, PHP alebo e-mailov. Budeme pracovať s viacrozmernými poliami, alebo s funkciou list. Naučíš sa prechádzať poľom, pomocou príkazu foreach. Ukážeme ti ako v PHP naprogramovať webová aplikáciu. Na kurze preberieme bezpečnosť skriptov, ochranu formulárov, či časté programátorské chyby. Budeš vedieť vygenerovať súbor MS Word a Excel. Nebudeš mať problém s odosielaním e-mailov, alebo odosielaním súborov.
228;Online kurz PHP III. Práca s Databázou MySQL;56;74,1;Tvorba Web Stránok;Online kurz PHP Práca s Databázou MySQL sa dozvieš základy databáz v PHP a jazyka SQL. Databáza a jazyk PHP je základom väčšiny úspešných webových aplikácií ako Facebook či Twitter. Na kurze sa dozvieš ako používať SQL dopyty na manipuláciu dát v databáze. Naučíš sa importovať a exportovať databázu do CSV a textového súboru. Naučíš sa samostatne navrhnúť vlastnú databázu podľa potreby a prepojiť ju so svojím PHP skriptom.
229;Online kurz PHP IV. Tvorba Eshopu;98;131,3;Tvorba Web Stránok;Online kurz PHP Tvorba Eshopu sa dozvieš všetko podstatné, čo potrebuješ vedieť pri tvorbe eshopu. Krok za krokom, ťa prevedieme procesom tvorby internetového obchodu. Budeš vedieť aké, požiadavky musíš splniť a ako naplánovať celý proces. Po plánovaní sa naučíš celý proces implementovať a testovať, tvorba vlastných produktov, kategórií či nákupného košíka ti už nebude robiť problém. Po absolvovaní kurzu zvládneš spracovať objednávky alebo platby.
230;Online kurz PHP V. OOP;134,2;176,8;Tvorba Web Stránok;Online kurz PHP objektovo orientované programovanie, je pre teba skvelým štartom do vytvárania webových aplikácií. Naučíš sa pracovať s objektami, triedami či konštruktormi. Porozumieš objektovému modelu a pokročilému objektovému programovaniu. Nebudeš mať problém so spracovaním a používaním XML dokumentov v PHP.
231;Online kurz Pinnacle Studio I. Začiatočník;139;185;Grafika a Dizajn;Online kurz Pinnacle Studio I. Začiatočník je vhodný pre teba, ak sa chceš naučiť vytvárať domáce videá na profesionálnej úrovni. Naučíme ťa použiť video editor, správne nastaviť kameru i aplikáciu základnej a pokročilej kompozície záberu. Osvojíš si režim editácie, nahrávania či exportu videa a nastavenie zobrazenia na dvoch monitoroch. Zvládneš nahrávať digitálne i analógové video.
232;Online kurz Počítačové Siete I. Základy Počítačových Sietí;84;110,5;CISCO a Siete;Online kurz Počítačové Siete I. Základy Počítačových Sietí ťa naučí ako sa cez počítačové siete posielajú správy, ako si nastaviť sieťový adaptér a vysvetlíme ti základné princípy pre počítačové siete. Absolvent online kurzu Počítačové Siete Základy Počítačových Sietí získa prehľad vo väčšine sieťovacích zariadení a predovšetkým pevné základy zo sieťovej problematiky.
233;Online kurz Počítačové Siete II. Základy Routingu a Switchingu;106;139,1;CISCO a Siete;Online kurz Počítačové Siete II. Základy Routingu a Switchingu je ideálny pre absolventa online kurzu Počítačové Siete I. Na online kurze Počítačové Siete II. ťa naučíme, ako si nakonfigurovať prepínač a router. Vysvetlíme si rozdiel medzi modelom OSI a TCP/IP. Pojmy ako TCP, IPv4, UDP, NAT, DHCP a DNS pre teba nebudú problémom. Online kurz ti vštiepi matematický základ sieťových adries, subnetting a supernetting. V praktickej časti sa stretnete aj s programom Packet-Tracer. Absolvent online kurzu Počítačové Siete Základy Routingu a Switchingu si bude vedieť sám navrhnúť a zostaviť malú počítačovú sieť.
234;Online kurz Počítačové Siete III. Základy Bezpečnosti Sietí;109;143;CISCO a Siete;Online kurz Počítačové Siete III. Základy Bezpečnosti Sietí je ideálny pre absolventa online kurzu Počítačové Siete II. Na online kurze Počítačové Siete III. sa naučíš, kde sa v sieti nachádzajú najzraniteľnejšie miesta a princípy bezpečného návrhu sietí. Uvedieme ťa do problematiky bezpečnostných protokolov akými sú IPsec, TLS či HTTPS. Ďalej ťa naučíme pracovať s firewallmi, filtrami a proxy servermi. Absolvent online kurzu Počítačové Siete Bezpečnosti Sietí bude zabezpečovať firemné a vlastné siete.
235;Online kurz Počítačové Siete IV. Bezpečnosti WIFI Sietí;112;146,9;CISCO a Siete;Online kurz Počítačové Siete IV. Bezpečnosť WIFI Sietí je vhodný pre skúsenejších používateľov v oblasti počítačových sietí alebo ľudí, ktorí už absolvovali online kurz Počítačové Siete III. Základy Bezpečnosti Sietí. Na online kurze Počítačové Siete IV. sa dozvieš niečo o štandardoch (802.11, 802.11y), bezdrôtových prístupových bodoch, smerovačoch, bránach a bezdrôtových sieťach OLPC XO. Naučíš sa pracovať s anténami a softwarom pre bezdrôtové siete. Absolventom online kurzu Počítačové Siete  Bezpečnosť WIFI Sietí nebude robiť problém ani zabezpečenie či konfigurácia IPSec na Cisco smerovačoch.
236;Online kurz Počítačové Siete IX. Analýza Sietí;168;219,7;CISCO a Siete;Online kurz Počítačové Siete IX. Analýza Sietí je určený pre ľudí, ktorí majú pokročilé zručnosti v oblasti počítačové siete, alebo u nás už absolvovali kurzy Počítačové siete. Na online kurze Počítačové siete IX. Analýza sietí sa povenujeme analýze paketov a nástrojom pre ich sledovanie, zapúzdrovanie dát, ale aj klasifikácii prevádzky. Naučíme ťa ako napichnúť linku a ako ju sledovať, predstavíme ti program Wireshark, jeho výhody, inštaláciu a základné okno. Po absolvovaní online kurzu Počítačové siete IX. Analýza sietí budeš ovládať spracovanie zachytených paketov a všetky potrebné funkcie programu Wireshark.
237;Online kurz Počítačové Siete V. VoIP;140;183,3;CISCO a Siete;Online kurz Počítačové Siete V. VoIP ťa oboznámi so základnými princípmi protokolu VoIP a ukáže ti široké možnosti jeho využitia pre počítačové siete. Na online kurze Počítačové Siete V. sa zrozumiteľnou formou oboznámiš s viacerými signalizačnými protokolmi VoIP, spoznáš význam skratiek RTP, RTCP, cRTP či SCCP. Zistíš rozdiely medzi využívaním analógových a digitálnych hlasových portov. Absolvent online kurzu Počítačové Siete V. VoIP bude mať v tejto problematike nielen výborný prehľad, ale zároveň mu nebude robiť problém konfigurácia Cisco Unified Border Element a prepojovanie jednotlivých sietí.
238;Online kurz Počítačové Siete XIII. Základy Firewall a QoS;168;219,7;CISCO a Siete;Online kurz Počítačové siete XIII. Firewall a QoS je vhodný pre všetkých absolventov predošlých kurzov pre počítačové siete alebo pre tých, ktorí s nimi majú skúsenosti. Na kurze Počítačové siete XIII. sa naučíš používať Firewall a nastavovať mu pravidlá. Dozvieš sa niečo o bezpečnosti a QoS. Po absolvovaní online kurzu Počítačové siete  budeš zvládať prácu s firewallmi a sieťovými administrátorskými nástrojmi.
239;Online kurz Podnikanie a Eshop;79;104,4;Marketing, Reklama a Právo;Online kurz Podnikanie a Eshop získaš odpovede na to, ako začať úspešne podnikať a ako tvoje podnikanie posunúť čo najďalej. Povieme si ako najefektívnejšie získavať nových zákazníkov a akú rolu hrajú brand, firemná kultúra či hodnoty firmy.
